Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Logistic Regression,0.8142778085224128,0.5875389408099688,0.8419642857142857,0.6921100917431192,0.9085622634815516,0.7810566812655457
KNN,0.8375207526286663,0.6951466127401416,0.6138392857142857,0.6519677572309152,0.8893972721538946,0.7478129226863075
Random Forest,0.8320973990038738,0.6232526423457211,0.8160714285714286,0.7067465687222115,0.9136447164406601,0.7955652479414161
XGBoost,0.835639180962922,0.6230042359074617,0.8535714285714285,0.7202863062723677,0.9265420674340376,0.8270517885860218
ANN,0.8201438848920863,0.6014516661167931,0.8138392857142858,0.6917093530639348,0.9082976256175759,0.7788612659012722
